,text_a,label
0,"China is working day &amp; night to outperform the United States. 

In response? Speaker Pelosi blocked legislation that would protect students and universities from China's influence in our academia. 

This is unacceptable. 

See article below⤵️
https://t.co/LZBApCJ9zO",2
1,"FBI Agents were so concerned with James Comey’s illegal investigation, they purchased liability insurance to protect themselves two weeks before @realDonaldTrump was inaugurated. https://t.co/DXDXCWx6Cc",2
2,"RT @nytimes: The Trump administration can’t end the 2020 census early, a judge ruled. The ruling says the census, which was delayed for months because of the coronavirus, needs more time to get an accurate count. https://t.co/B9MyS1Ro1M",2
3,"Trump requires food aid boxes to come with a letter from him https://t.co/baT17tOLeK via @politico #Trump cares nothing about ethics nor propriety.He has been using the White House and presidency for his personal and political benefit. No class,no couth,no shame.",2
4,There is not a company that fails in China because it is poorly run. #HunterBiden https://t.co/ExzfFliu3Y,2
5,"Activists masquerading as media were too focused on attacking President Trump. https://t.co/2lhMQfKWyy QUOTE @DailyCaller: Today, the Trump administration announced the first Government Center For Countering Human Trafficking 

The press had no questions. 
https://t.co/ctogcStjQG",2
6,"Contrary @nytimes’ warped worldview, Judge Barrett’s decision to adopt two children has nothing to do with politics.
 
https://t.co/MM6OH0RbSo",2
7,"This is unacceptable. #StopTheCensorship 
https://t.co/OGKAytHrib",2
8,".@maddow is right. Today is the last day to @VoteEarlyTN. If you're voting absentee in TN-05, you can take your completed &amp; signed ballot to: 

Cheatham Co. - 102 N. Vine St. in Ashland City

Davidson Co. - 901 Broadway downtown

Dickson Co. - 4 Court Sq. in Charlotte

#VOTE https://t.co/6IEu3dzi3h QUOTE @MSNBC: .@Maddow: ""Bottom line, in all states, it is too late to count on the mail now. Don't mail it now. Bring it in yourself.""
https://t.co/NtwyjUGcIT",2
9,"""Be one of those people"" - @jonfavs is right. If you're voting absentee in TN-05, you can take your completed &amp; signed ballot now to:

Cheatham Co. - 102 N. Vine St. in Ashland City
Davidson Co. - 901 Broadway downtown
Dickson Co. - 4 Court Sq. in Charlotte

#VOTE https://t.co/XBOD9m3Pi8 QUOTE @jonfavs: Voter suppression isn’t just about making it harder for you to vote, but about making you believe the effort isn’t worth it. 

Their strategy, so far, isn’t working. People are voting in record numbers. Be one of those people. Prove them wrong.

 https://t.co/JAXpHryq75",2
